Name,Nationality,Current Rank,Previous Year Rank,Sport,earnings ($ million)
Matt Ryan,USA,9,110,AMERICAN FOOTBALL,67.3
Matthew Stafford,USA,10,110,AMERICAN FOOTBALL,59.5
Lionel Messi,Argentina,1,2,SOCCER,127.0
Cristiano Ronaldo,Portugal,2,3,SOCCER,109.0
Neymar,Brazil,3,5,SOCCER,105.0
Canelo Alvarez,Mexico,4,15,BOXING,94.0
Roger Federer,Switzerland,5,7,TENNIS,93.4
Russell Wilson,USA,6,00,AMERICAN FOOTBALL,89.5
Aaron Rogers,USA,7,00,AMERICAN FOOTBALL,89.3
LeBron James,USA,8,6,BASKETBALL,89.0
Stephen Curry,USA,9,8,BASKETBALL,79.8
Kevin Durant,USA,10,11,BASKETBALL,65.4
Roger Federer,Switzerland,1,5,TENNIS,106.3
Cristiano Ronaldo,Portugal,2,2,SOCCER,105.0
Lionel Messi,Argentina,3,1,SOCCER,104.0
Neymar,Brazil,4,3,SOCCER,95.5
LeBron James,USA,5,8,BASKETBALL,88.2
Stephen Curry,USA,6,9,BASKETBALL,74.4
Kevin Durant,USA,7,10,BASKETBALL,63.9
Tiger Woods,USA,8,11,GOLF,62.3
Kirk Cousins,USA,9,110,AMERICAN FOOTBALL,60.5
Carson Wentz,USA,10,110,AMERICAN FOOTBALL,59.1
